Producteur,Nom du jeu de données,Lien,Type,Source
Région Grand-Est ,Archives régionales de Lorraine,https://www.data.gouv.fr/fr/datasets/archives-regionales-de-lorraine/,Conseil régional,Data gouv
CD22 ,Archives Départementales des Côtes d'Armor: bilan des entrées de documents,https://www.data.gouv.fr/fr/datasets/archives-departementales-des-cotes-darmor-bilan-des-entrees-de-documents/,Conseil départemental,Data gouv
Archives Nationales - 2016-2017,Les entrées d'archives aux Archives nationales 2016-2017,https://www.data.gouv.fr/fr/datasets/les-entrees-darchives-aux-archives-nationales/,Service de l'Etat,Data gouv
Archives Nationales - 2014-2018,Les entrées d'archives aux Archives nationales 2014-2018,https://www.data.gouv.fr/fr/datasets/les-entrees-darchives-aux-archives-nationales-1/,Service de l'Etat,Data gouv
CD50,Collecte d'archives aux archives départementales de la Manche,http://www.opendata-manche.fr/data-presentation-ux/#/manum/datasets/eaa2b89e7b41412a82be4617387eadef/views/grid,Conseil départemental,Portail local
Antibes ,Registre des entrées d'archives d'Antibes,https://www.data.gouv.fr/fr/datasets/registre-des-entrees-darchives-dantibes/,Commune,Data gouv
Belfort,Archives municipales de la Ville de Belfort - Entrées d'archives,https://www.data.gouv.fr/fr/datasets/archives-municipales-de-la-ville-de-belfort-entrees-darchives/,Commune,Data gouv
Rennes,Collecte des Archives Municipales,https://www.data.gouv.fr/fr/datasets/collecte-des-archives-municipales/#_,Commune,Data gouv
Région Pays-de-la-Loire,Archives régionales des Pays de la Loire - Entrées d'archives,https://www.data.gouv.fr/fr/datasets/archives-regionales-des-pays-de-la-loire-entrees-darchives/#_,Conseil régional,Data gouv
